Airport,Airport code
MMH,1
TEX,1
SUN,1
MOD,1
CEC,1
CMX,1
ADQ,1
ASE,1
MKG,1
DBQ,1
FOE,1
ACV,1
ART,1
PGD,1
STC,1
JMS,1
TOL,1
UTM,1
CIC,1
ADK,1
DVL,1
ALO,1
RDD,1
PAH,1
CWA,1
ORH,1
OTH,1
EAU,1
IYK,1
LAR,1
BPT,1
SPS,1
CMI,1
GGG,1
AZO,1
MRY,1
LAW,1
SPI,1
LMT,1
GUC,1
TXK,1
SUX,1
ACT,1
ERI,1
GST,1
MBS,1
LGA,1
LAN,1
SJT,1
GRB,1
TVC,1
RST,1
ATW,1
BTV,1
MFR,1
DLH,1
OME,1
PUB,1
UST,1
IAG,1
ROA,1
PIA,1
ESC,1
HYS,1
GRK,1
SCE,1
ABI,1
RHI,1
HPN,1
CLL,1
TYR,1
CRW,1
EWR,1
FWA,1
JLN,1
SBN,1
ROW,1
AVP,1
XNA,1
COU,1
SMX,1
DIK,1
HIB,1
APN,1
GSO,1
MLI,1
FLG,1
ABE,1
PWM,1
CID,1
RKS,1
OTZ,1
HOB,1
MHK,1
ORD,1
LSE,1
CHO,2
SBP,2
EVV,2
FAR,2
MTJ,2
DAY,2
BRO,2
MSN,2
LFT,2
MQT,2
BGR,2
SYR,2
BTM,2
BMI,2
LNK,2
IMT,2
CYS,2
CIU,2
FSD,2
COD,2
SGF,2
PLN,2
LRD,2
BRW,2
DCA,2
SAF,2
LWB,2
LEX,2
ROC,2
EGE,2
CAE,2
BTR,2
LBE,2
HDN,2
SBA,2
LCH,2
GPT,2
MLU,2
INL,2
GCK,2
FSM,2
CRP,2
RAP,2
DSM,2
SHV,2
BET,2
GRI,2
ISN,2
TYS,2
SCC,2
SAV,2
MDT,2
AEX,2
MFE,2
EUG,2
AMA,2
BRD,2
HSV,2
ICT,2
RIC,2
IAD,2
CVG,2
DRO,2
ORF,2
CLD,2
AVL,2
MOT,2
MAF,2
MOB,2
GRR,2
LBB,2
VEL,2
LIT,2
DFW,2
GCC,2
CHS,2
BIS,2
GSP,2
MHT,2
JAN,2
ITH,2
RDU,2
VPS,2
BJI,2
GFK,2
PSE,2
WRG,2
MGM,2
CMH,2
CLE,2
BOS,2
CPR,2
BUF,2
MEM,3
SFO,3
JFK,3
RDM,3
CSG,3
MYR,3
ABR,3
SWF,3
PVD,3
BFL,3
ISP,3
MEI,3
TUL,3
BDL,3
PNS,3
BUR,3
SDF,3
ALB,3
COS,3
GTR,3
ELM,3
PSG,3
ACY,3
YAK,3
BQK,3
MKE,3
EKO,3
MVY,3
GJT,3
OMA,3
CAK,3
OKC,3
TLH,3
IND,3
JAC,3
CHA,3
PHF,3
OAJ,3
IPL,3
PHL,3
MDW,3
YUM,3
CDV,3
BNA,3
DHN,3
FAY,3
AZA,3
AGS,3
BWI,3
JNU,3
TRI,3
FNT,3
HRL,3
DRT,3
ILM,3
PIT,3
STL,3
VLD,3
EWN,3
IDA,3
MCI,3
BKG,3
BHM,3
PSP,3
JAX,3
TTN,3
BQN,3
KTN,3
IAH,3
PBI,3
DAL,3
ABY,3
HOU,3
PSC,3
FAT,3
GNV,3
BGM,3
PIE,3
DTW,3
CLT,4
SAN,4
TWF,4
ELP,4
OAK,4
DEN,4
MIA,4
EYW,4
SNA,4
MSO,4
PIB,4
PIH,4
MSY,4
ACK,4
LAX,4
HYA,4
SMF,4
RNO,4
FCA,4
SJC,4
ONT,4
FLL,4
AUS,4
SAT,4
RSW,4
SRQ,4
ATL,4
MSP,4
BIL,4
ILG,4
ABQ,5
MCO,5
GUM,5
PBG,5
STT,5
SIT,5
HLN,5
TUS,5
BZN,5
GTF,5
TPA,5
ECP,5
ANC,5
CDC,5
SJU,5
BOI,5
LGB,5
LWS,5
LAS,5
RFD,5
CNY,5
DAB,5
LIH,5
WYS,5
PHX,5
DLG,5
GEG,5
FAI,5
MLB,5
OGG,5
KOA,5
PDX,5
SGU,5
SLC,5
HNL,5
STX,5
SEA,5
ITO,5
AKN,5
BLI,5
BFF,5
EFD,5
ENV,5
FLO,5
LYH,5
MCN,5
PPG,5
SHD,5
SPN,5
TUP,5
ALM,1
AUG,1
BTL,1
CKB,1
DET,1
FYV,1
HIO,1
HTS,1
INT,1
MPV,1
PFN,1
PIR,1
RUT,1
SLE,1